file id,system1,system2,system3
wav_700.wav,he would have some arrangement of this thing,HE WOULD HAVE SOME ARRANGEMENT OF THIS THING,he would have some arrangement of this thing
wav_1418.wav,backle wain shook his head seriously,BACKLE WAIN SHOOK HIS HEAD SERIOUSLY,back o'waine shook his head seriously
wav_1333.wav,on perceiving this claudia when she had convinced herself that her beloved husband was no more rent the air with her sighs and made the heavens ring with her lamentations she tore her hair and scattered it to the winds she beat her face with her hands and showed all the signs of grief and sorrow that could be conceived to come from an afflicted heart,ON PERCEIVING THIS CLAUDIA WHEN SHE HAD CONVINCED HERSELF THAT HER BELOVED HUSBAND WAS NO MORE RENT THE AIR WITH HER SIGHS AND MADE THE HEAVENS RING WITH HER LAMENTATIONS SHE TORE HER HAIR AND SCATTERED IT TO THE WINDS SHE BEAT HER FACE WITH HER HANDS AND SHOWED ALL THE SIGNS OF GRIEF AND SORROW THAT COULD BE CONCEIVED TO COME FROM AN AFFLICTED HEART,on perceiving this claudia when she had convinced herself that her beloved husband was no more rent the air with her sighs and made the heavens ring with her lamentations she tore her hair and scattered it to the winds she beat her face with her hands and showed all the signs of grief and sorrow that could be conceived to come from an afflicted heart
wav_2071.wav,how asked tad,HOW ASKED TAD,how asked tad
wav_1574.wav,these intruders are very peculiar people remarked a man in the crowd,THESE INTRUDERS ARE VERY PECULIAR PEOPLE REMARKED A MAN IN THE CROWD,these intruders are very peculiar people remarked a man in the crowd
wav_2694.wav,o papa loay on a best year,O PAPA LOAY ON A BEST YEAR,a popular yon abbasya
wav_1399.wav,i suppose severity is necessary returned meeken though to my ears a flogging sounds a little distasteful,I SUPPOSE SEVERITY IS NECESSARY RETURNED MEEKEN THOUGH TO MY EARS A FLOGGING SOUNDS A LITTLE DISTASTEFUL,i suppose severity is necessary returned beacon though to my ears a flogging sounds a little distasteful
wav_1503.wav,david and christie went smiling away together and if they shed any tears over the brief happiness no one saw them but the flowers and they loyally kept the secret folded up in their tender hearts,DAVID AND CHRISTIE WENT SMILING AWAY TOGETHER AND IF THEY SHED ANY TEARS OVER THE BRIEF HAPPINESS NO ONE SAW THEM BUT THE FLOWERS AND THEY LOYALLY KEPT THE SECRET FOLDED UP IN THEIR TENDER HEARTS,david and christie went smiling away together and if they shed any tears over the brief happiness no one saw them but the flowers and they loyally kept the secret folded up in their tender hearts
wav_917.wav,they had four or five species of what might loosely be called birds and something that could easily be classed as a reptile and a carnivorous mammal the size of a cat with bird like claws and a herb of ore almost identical with a pig like thing in the big dwarf hull of a mirror and another like a gazelle with a single horn in the middle of its forehead,THEY HAD FOUR OR FIVE SPECIES OF WHAT MIGHT LOOSELY BE CALLED BIRDS AND SOMETHING THAT COULD EASILY BE CLASSED AS A REPTILE AND A CARNIVOROUS MAMMAL THE SIZE OF A CAT WITH BIRD LIKE CLAWS AND A HERB OF ORE ALMOST IDENTICAL WITH A PIG LIKE THING IN THE BIG DWARF HULL OF A MIRROR AND ANOTHER LIKE A GAZELLE WITH A SINGLE HORN IN THE MIDDLE OF ITS FOREHEAD,they had four or five species of what might loosely be called birds and something that could easily be classed as a reptile and a carnivorous mammal the size of a cat with bird like claws and a herb of ore almost identical with the pig like thing in the big dark hull of a mirror and another like a gazelle with a single horn in the middle of its forehead
wav_2679.wav,whereby other ladies who were about the room becoming aware of my discomfort by reason of the moan that she made who indeed was of my very near kindred led her away from where i was and then set themselves to awaken me thinking that i dreamed and saying sleep no longer and be not disquieted,WHEREBY OTHER LADIES WHO WERE ABOUT THE ROOM BECOMING AWARE OF MY DISCOMFORT BY REASON OF THE MOAN THAT SHE MADE WHO INDEED WAS OF MY VERY NEAR KINDRED LED HER AWAY FROM WHERE I WAS AND THEN SET THEMSELVES TO AWAKEN ME THINKING THAT I DREAMED AND SAYING SLEEP NO LONGER AND BE NOT DISQUIETED,whereby other ladies who were about the room becoming aware of my discomfort by reason of the moan that she made who indeed was of my very near kindred led her away from where i was and then set themselves to awaken me thinking that i dreamed and saying sleep no longer and be not disquieted
wav_1718.wav,our pickets had run in and reported a night attack,OUR PICKETS HAD RUN IN AND REPORTED A NIGHT ATTACK,our pickets had run in and reported a night attack
wav_1463.wav,then they went back to their work little dreaming as they tied roses in twined similex wreaths how near that other chance was how soon they were to be called upon to keep their promise and how well each was to perform the part given them in life and death,THEN THEY WENT BACK TO THEIR WORK LITTLE DREAMING AS THEY TIED ROSES IN TWINED SIMILEX WREATHS HOW NEAR THAT OTHER CHANCE WAS HOW SOON THEY WERE TO BE CALLED UPON TO KEEP THEIR PROMISE AND HOW WELL EACH WAS TO PERFORM THE PART GIVEN THEM IN LIFE AND DEATH,then they went back to their work little dreaming as they tied roses and twined similar x wreaths how near that other chance was how soon they were to be called upon to keep their promise and how well each was to perform the part given them in life and death
wav_2188.wav,he hurriedly cut cake and pressed it upon her,HE HURRIEDLY CUT CAKE AND PRESSED IT UPON HER,he hurriedly cut cake and pressed it upon her
wav_2132.wav,this was her dream as nearly as she could recall it when she came to herself after waking from it with a cry,THIS WAS HER DREAM AS NEARLY AS SHE COULD RECALL IT WHEN SHE CAME TO HERSELF AFTER WAKING FROM IT WITH A CRY,this was her dream as nearly as she could recall it when she came to herself after waking from it with a cry
wav_726.wav,the helpless manager paced the floor and grimly endured the gloom of defeat,THE HELPLESS MANAGER PACED THE FLOOR AND GRIMLY ENDURED THE GLOOM OF DEFEAT,the helpless manager paced the floor and grimly endured the gloom of defeat
wav_716.wav,he was beaten for to night and he might just as well make the best of it,HE WAS BEATEN FOR TO NIGHT AND HE MIGHT JUST AS WELL MAKE THE BEST OF IT,he was beaten for to night and he might just as well make the best of it
wav_409.wav,the ghoul like fever was not to be braved with impunity and balked of its prey,THE GHOUL LIKE FEVER WAS NOT TO BE BRAVED WITH IMPUNITY AND BALKED OF ITS PREY,the ghoul like fever was not to be braved with impunity and balked of its prey
wav_748.wav,i regret that reviewers have in some cases been inclined to treat the chapters on machines as an attempt to reduce mister darwin's theory to an absurdity,I REGRET THAT REVIEWERS HAVE IN SOME CASES BEEN INCLINED TO TREAT THE CHAPTERS ON MACHINES AS AN ATTEMPT TO REDUCE MISTER DARWIN'S THEORY TO AN ABSURDITY,i regret that reviewers have in some cases been inclined to treat the chapters on machines as an attempt to reduce mister darwin's theory to an absurdity
wav_2321.wav,there are natures too to whose sense of justice the price exacted looms up monstrously enormous odious oppressive worrying humiliating extortionate intolerable those are the fanatics,THERE ARE NATURES TOO TO WHOSE SENSE OF JUSTICE THE PRICE EXACTED LOOMS UP MONSTROUSLY ENORMOUS ODIOUS OPPRESSIVE WORRYING HUMILIATING EXTORTIONATE INTOLERABLE THOSE ARE THE FANATICS,there are natures too to whose sense of justice the price exacted looms up monstrously enormous odious oppressive worrying humiliating extortionate intolerable those are the fanatics
